bedrooms,bathrooms,bathroomsFull,bathroomsThreeQuarter,bathroomsHalf,bathroomsOneQuarter,bathroomsPartial,mainLevelBathrooms,rooms,basement,flooring,heating,hasHeating,cooling,hasCooling,appliances,laundryFeatures,fireplaces,fireplaceFeatures,hasFireplace,furnished,commonWalls,buildingArea,livingArea,aboveGradeFinishedArea,belowGradeFinishedArea,parking,parkingFeatures,garageSpaces,coveredSpaces,hasAttachedGarage,hasGarage,openParkingSpaces,hasOpenParking,carportSpaces,hasCarport,otherParking,accessibilityFeatures,levels,stories,entryLevel,entryLocation,hasPrivatePool,hasSpa,spaFeatures,exteriorFeatures,patioAndPorchFeatures,fencing,view,hasView,hasWaterfrontView,waterfrontFeatures,frontageType,frontageLength,topography,woodedArea,vegetation,canRaiseHorses,lotSize,lotSizeDimensions,otherStructures,additionalParcelsDescription,hasAdditionalParcels,parcelNumber,hasAttachedProperty,hasLandLease,landLeaseAmount,zoning,zoningDescription,homeType,architecturalStyle,constructionMaterials,foundationDetails,roofType,windowFeatures,propertyCondition,isNewConstruction,yearBuiltEffective,builderModel,hasHomeWarranty,electric,hasElectricOnProperty,gas,sewer,waterSources,utilities,greenBuildingVerificationType,greenEnergyEfficient,greenIndoorAirQuality,greenSustainability,greenWaterConservation,numberOfUnitsInCommunity,numberOfUnitsVacant,storiesTotal,hasPetsAllowed,hasRentControl,buildingFeatures,structureType,buildingName,elementarySchool,elementarySchoolDistrict,middleOrJuniorSchool,middleOrJuniorSchoolDistrict,highSchool,highSchoolDistrict,securityFeatures,communityFeatures,isSeniorCommunity,cityRegion,listingId,buildingAreaSource,otherFacts,zipcode,streetAddress,city,state,latitude,longitude,price,homeStatus,photoCount,imageId,imageIdCount,description
4,2,2,0,0,0,,,,Unfinished,"['Carpet', 'Linoleum / Vinyl']",['Other'],True,['Central'],True,"['Range / Oven', 'Refrigerator']",,,,,False,,,1250.0,,,,['Detached Garage'],,,False,,,False,,False,,,,2,,,,,,"['Vinyl', 'Wood']",,,,,,,,,,,,False,,,,,False,060002000165,False,False,,,,Single Family,,,,Asphalt,,,False,2000,,False,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,False,Gilbert,,,[],55741,715 S Broadway Ave,Gilbert,MN,47.48152,-92.471507,90000.0,FOR_SALE,0,55741_0,1,"For sale: $90,000. "
1,1,1,0,0,0,,,[],,,['Other'],True,,,"['Microwave', 'Range/Stove', 'Refrigerator', 'Trash Compactor']",,,,,False,,,720.0,,,,,,,False,,,False,,False,,,,1,,,,,,"['Metal', 'Other']",,,"['Inland Lake', 'Panoramic']",,True,,,,,,,False,1.42 acres,,,,False,260003600020,False,False,,,,Single Family,,,,,,,False,,,False,,,,['Private'],,,,,,,,,,,True,False,,,,,Eveleth-Gilbert #2154,,Eveleth-Gilbert #2154,,Eveleth-Gilbert #2154,,,False,Gilbert,6089052,,"[{'name': 'Sale/Rent', 'value': 'For Sale'}, {'name': 'Waterfront', 'value': 'Yes'}, {'name': 'Construction Status', 'value': 'Previously Owned'}, {'name': 'Classification', 'value': 'NonHomestead'}, {'name': 'Assessments', 'value': 'Yes'}, {'name': 'Remodeled/Addition', 'value': 'Yes'}, {'name': 'School District', 'value': 'Eveleth-Gilbert #2154'}, {'name': 'Waterfront Name', 'value': 'Esquagama'}, {'name': 'Waterfront Description', 'value': 'Inland Lake'}, {'name': 'Style', 'value': 'Ranch/Rambler'}, {'name': 'Main Floor Bedroom', 'value': '1'}, {'name': 'Lot Description', 'value': 'Rolling, Irregular Lot, Tree Coverage - Heavy'}, {'name': 'Parking/Driveway', 'value': 'Driveway - Gravel'}, {'name': 'Shoreline Characteristics', 'value': 'Gravel, Sand'}, {'name': 'Amenities', 'value': 'Natural Woodwork'}, {'name': 'Amenities-Exterior', 'value': 'Deck, Dock'}, {'name': 'Construction Type', 'value': 'Frame/Wood'}, {'name': 'Dining', 'value': 'Combine with Living Room, Informal Dining Room'}, {'name': 'Heat', 'value': 'Forced Air, Propane'}, {'name': 'Terms', 'value': 'Cash, Conventional'}, {'name': 'Water', 'value': 'Private'}, {'name': 'Outbuildings', 'value': 'Storage Shed'}, {'name': 'Roof', 'value': 'Asphalt Shingles'}, {'name': 'Mechanicals', 'value': 'Water Heater-Gas'}, {'name': 'Road Frontage', 'value': 'County, Paved'}, {'name': 'Basement Material', 'value': 'Concrete Block'}, {'name': 'Zoning (WI)', 'value': 'Residential'}, {'name': 'Exterior', 'value': 'Vinyl'}, {'name': 'Basement Style', 'value': 'Crawl Space'}, {'name': 'Internet Options', 'value': 'DSL'}, {'name': 'Bath Description', 'value': 'Full Main Floor'}]",55741,6382 Ajax Rd,Gilbert,MN,47.475607,-92.356146,195500.0,FOR_SALE,21,55741_1,7,"For sale: $195,500. Furnished Retreat In The Pines At Waters Edge--Apx 1.5 Acres &amp; 110 ft South Facing SANDY Shore w/stunning sunsets, Lake Eshquaguma. Solidly built 1964, updated 1975, new roof &amp; vinyl siding 2006. PRIVATELY OWNED NOT A LEASE. 720 SF, 1 lg BR, 1 full bath. Open floorplan w/incredible blue water vistas through the pines, glass door to deck, great retro kitch w/metal cabinets &amp; avocado appliances. Gentle slope to open level yard lakeside, dock. Minutes away from Giants Ridge Championship Golf &amp; Ski Resort. Wonderful relaxing spaces, lake views &amp; sounds of water lapping shore from almost all rooms! Ceiling &amp; walls insulated, propane wall heater. Drilled well. Good internet. Click link to view 3D Tour!"
2,1,0,1,0,0,,,[],,,['Forced air'],True,,,"['Dryer', 'Range/Stove', 'Refrigerator', 'Washer']",,,,True,False,,,1240.0,,,,['Attached Garage'],1,,False,True,,False,,False,,,,1,,,False,False,,['Cement concrete'],,,"['Inland Lake', 'Panoramic']",True,True,,,,,,,False,0.5 acres,,,,False,,False,False,,,,Single Family,,,,Asphalt,,,False,,,False,,,,['Private'],,,,,,,,,,,True,False,,,,,Eveleth-Gilbert #2154,,Eveleth-Gilbert #2154,,Eveleth-Gilbert #2154,,,False,Gilbert,6088984,,"[{'name': 'Sale/Rent', 'value': 'For Sale'}, {'name': 'Waterfront', 'value': 'Yes'}, {'name': 'Construction Status', 'value': 'Previously Owned'}, {'name': 'Assessments', 'value': 'Yes'}, {'name': 'Association Fee', 'value': 'Yes'}, {'name': 'Fireplace Type', 'value': 'Wood Burning'}, {'name': 'Classification', 'value': 'Homestead'}, {'name': 'Association Fee Frequency', 'value': 'Yearly'}, {'name': 'School District', 'value': 'Eveleth-Gilbert #2154'}, {'name': 'Waterfront Name', 'value': 'Esquagama'}, {'name': 'Waterfront Description', 'value': 'Inland Lake'}, {'name': 'Lot Description', 'value': 'Tree Coverage - Medium, Telephone, Rolling, Irregular Lot, On Golf Course'}, {'name': 'Parking/Driveway', 'value': 'Driveway - Asphalt'}, {'name': 'Fireplace', 'value': 'Yes'}, {'name': 'Style', 'value': 'Ranch/Rambler'}, {'name': 'Main Floor Bedroom', 'value': '1'}, {'name': 'Leased Land', 'value': 'Yes'}, {'name': 'Shoreline Characteristics', 'value': 'Sand'}, {'name': 'Amenities', 'value': 'Natural Woodwork, Washer Hook-Ups'}, {'name': 'Association Fee Includes', 'value': 'Recreation Facilities, Management'}, {'name': 'Construction Type', 'value': 'Frame/Wood'}, {'name': 'Dining', 'value': 'Formal Dining Room'}, {'name': 'Heat', 'value': 'Forced Air, Propane'}, {'name': 'Terms', 'value': 'Cash, Conventional'}, {'name': 'Water', 'value': 'Private'}, {'name': 'Basement Style', 'value': 'Full'}, {'name': 'Exterior', 'value': 'Cement Board'}, {'name': 'Roof', 'value': 'Asphalt Shingles'}, {'name': 'Mechanicals', 'value': 'Water Heater-Gas'}, {'name': 'Road Frontage', 'value': 'Paved, Private'}, {'name': 'Basement Material', 'value': 'Concrete Block'}, {'name': 'Air Conditioning', 'value': 'Window'}, {'name': 'Road Maintenance', 'value': 'Private'}, {'name': 'Amenities-Shared', 'value': 'Tennis Courts'}, {'name': 'Bath Description', 'value': '3/4 Main Floor'}]",55741,6489 White Pine Ln,Gilbert,MN,47.462498,-92.36671,175000.0,FOR_SALE,19,55741_2,7,"For sale: $175,000. Classic Old Fashioned Summer Retreat At Waters Edge--Gradual Lot Set On 150 Ft Shoreline Offers Stunning Sunsets--Lake Eshquaguma. Golf Course Ninth Hole Right Out Front Door. Original Country Club cabin built 1923, 1,520 SF, 2BR/1BTH one level cottage w/1 stall gar rumored to have held a Duesenberg. Lakefront livingrm w/firepl &amp; mullioned windows, sun porch w/private park like views of wooded point &amp; lake. Sauna. Tennis, dining at Eshquaguma Country Club, where new members are welcome &amp; the purpose of the Club is to have fun. Minutes away from Giants Ridge Championship Golf &amp; Ski Resort, bike &amp; snowmobile trails. Charm of bygone era but w/modern amenities. Enjoy meals, games &amp; fireside chats!"
3,3,1,1,0,1,,,[],Finished,,['Other'],True,['Central'],True,"['Microwave', 'Range/Stove', 'Refrigerator', 'Washer', 'Dehumidifier']",,,,True,False,,,2247.0,,,,"['Carport', 'Attached Garage']",2,,False,True,,False,,False,,,,1,,,True,True,,"['Metal', 'Wood']",,,,,,,,,,,,False,6.04 acres,,,,False,677001200422,False,False,,,,Single Family,,,,,,,False,,,False,,,,['Holding Tank'],,,,,,,,,,,True,False,,Other,,,Mesabi E. #2711,,Mesabi E. #2711,,Mesabi E. #2711,,,False,Gilbert,6088868,,"[{'name': 'Sale/Rent', 'value': 'For Sale'}, {'name': 'Construction Status', 'value': 'Previously Owned'}, {'name': 'Classification', 'value': 'Homestead'}, {'name': 'School District', 'value': 'Mesabi E. #2711'}, {'name': 'Fireplace Type', 'value': 'Electric'}, {'name': 'Style', 'value': 'Split Entry/Foyer'}, {'name': 'Fireplace', 'value': 'Yes'}, {'name': 'Fireplaces', 'value': '1'}, {'name': 'Main Floor Bedroom', 'value': '1'}, {'name': 'Disclosures/Docs', 'value': 'Well Disc, LBP Disclosure, Septic Disclosure'}, {'name': 'Construction Type', 'value': 'Frame/Wood'}, {'name': 'Dining', 'value': 'Combine with Kitchen'}, {'name': 'Heat', 'value': 'Propane, Fireplace'}, {'name': 'Terms', 'value': 'Cash, Conventional, VA DVA, FHA'}, {'name': 'Basement Features', 'value': 'Finished, Bedrooms, Den/Office, Family/Rec Room, Utility Room, Fireplace, Washer Hook-Ups, Dryer Hook-Ups'}, {'name': 'Basement Material', 'value': 'Poured Concrete'}, {'name': 'Basement Style', 'value': 'Full'}, {'name': 'Outbuildings', 'value': 'Storage Shed, Other Buildings'}, {'name': 'Water', 'value': 'Drilled'}, {'name': 'Roof', 'value': 'Asphalt Shingles'}, {'name': 'Road Frontage', 'value': 'County, Paved'}, {'name': 'Mechanicals', 'value': 'Water Heater-Electric'}, {'name': 'Exterior', 'value': 'Steel'}, {'name': 'Bath Description', 'value': '3/4 Master, 1/4 Basement, Full Main Floor'}]",55741,6130 Stecker Rd,Gilbert,MN,47.4319,-92.342628,230900.0,FOR_SALE,30,55741_3,7,"For sale: $230,900. Park like beauty in this spacious 3 bedroom, 2.5 bath, 2 stall garage home all situated on 6.04 acres!  Large lower level family room with natural light aplenty, a large bedroom and office space that could be converted to a bedroom if needed.  Spacious living room, bright and open kitchen and dining room combo, 3/4 master bath, newer appliances throughout, a large 24x36 car port, and wild life galore!"
3,1,,,,,,,,Finished,,['Other'],True,['Central'],True,,,,,,False,,,1008.0,,,,"['Attached Garage', 'Detached Garage']",,,False,,,False,,False,,,,1,,,,,,['Other'],,,,,,,,,,,,False,,,,,False,060003600140,False,False,,,,Single Family,,,,,,,False,,,False,,,,,,,,,,,,,,,True,False,,Ranch,,,,,,,,,,False,Gilbert,,,[],55741,105 Florida Ave W,Gilbert,MN,47.482538,-92.472855,120521.0,PRE_FORECLOSURE,0,55741_4,1,"Zestimate&reg; Home Value: $120,521. "
3,2,1,1,0,0,,,[],,"['Hardwood', 'Tile']",['Other'],True,['Other'],True,"['Dishwasher', 'Dryer', 'Microwave', 'Range/Stove', 'Refrigerator', 'Washer', 'Exhaust Fan/Hood']",,,,True,False,,,2228.0,,,,"['Attached Garage', 'Detached Garage']",8,,False,True,,False,,False,,,,2,,,,,,['Vinyl'],,,['Inland Lake'],True,True,,,,,,,False,1 acres,,,,False,,False,False,,,,Single Family,,,,Asphalt,,,False,,,False,,,,['Private'],,,,,,,,,,,True,False,,Other,,,Mesabi E. #2711,,Mesabi E. #2711,,Mesabi E. #2711,,,False,Gilbert,5331572,,"[{'name': 'Sale/Rent', 'value': 'For Sale'}, {'name': 'Waterfront', 'value': 'Yes'}, {'name': 'Construction Status', 'value': 'Previously Owned'}, {'name': 'Fireplace Type', 'value': 'Gas'}, {'name': 'Association Fee', 'value': 'Yes'}, {'name': 'Classification', 'value': 'Homestead'}, {'name': 'Association Fee Frequency', 'value': 'Yearly'}, {'name': 'School District', 'value': 'Mesabi E. #2711'}, {'name': 'Occupied By', 'value': 'Owner'}, {'name': 'Assessments', 'value': 'Unknown'}, {'name': 'BWCAW Access', 'value': 'upper'}, {'name': 'Waterfront Description', 'value': 'Inland Lake'}, {'name': 'Fireplace', 'value': 'Yes'}, {'name': 'Lot Description', 'value': 'Tree Coverage - Light'}, {'name': 'Main Floor Bedroom', 'value': '1'}, {'name': 'Style', 'value': 'Other'}, {'name': 'Shoreline Characteristics', 'value': 'Sand'}, {'name': 'Fireplaces', 'value': '2'}, {'name': 'Amenities', 'value': 'Natural Woodwork, Walk-In Closet, Ceiling Fans, Eat-In Kitchen, Garage Door Opener, Tiled Floors, Vaulted Ceilings, Hardwood Floors, Kitchen Center Island, Washer Hook-Ups, Dryer Hook-Ups'}, {'name': 'Amenities-Exterior', 'value': 'Patio'}, {'name': 'Basement Style', 'value': 'Slab'}, {'name': 'Construction Type', 'value': 'Frame/Wood'}, {'name': 'Dining', 'value': 'Breakfast Bar, Informal Dining Room, Eat-In Kitchen'}, {'name': 'Heat', 'value': 'In Floor'}, {'name': 'Terms', 'value': 'Cash, Conventional'}, {'name': 'Water', 'value': 'Private'}, {'name': 'Outbuildings', 'value': 'Storage Shed, Pole Building, Workshop'}, {'name': 'Roof', 'value': 'Asphalt Shingles'}, {'name': 'Bath Description', 'value': 'Upper Level Bath, Master Walk-Thru, Separate Tub & Shower, 3/4 Main Floor'}, {'name': 'Road Frontage', 'value': 'County, Paved'}, {'name': 'Restrictions/Covenants', 'value': 'Mandatory Owners Assoc'}, {'name': 'Exterior', 'value': 'Vinyl'}, {'name': 'Association Fee Includes', 'value': 'Shared Amenities'}, {'name': 'Air Conditioning', 'value': 'Ductless Mini Split'}, {'name': 'Amenities-Shared', 'value': 'Tennis Courts, Dock'}, {'name': 'Waterfront Name', 'value': 'Esquagamah'}]",55741,6359 Eshquaguma Rd,Gilbert,MN,47.459863,-92.354923,369900.0,FOR_SALE,26,55741_5,7,"For sale: $369,900. Contact the listing agent, Krista Wolter at 612-247-5106, for additional information and a private showing."
3,3,1,1,1,0,,,[],Finished,['Other'],['Other'],True,['Central'],True,"['Dishwasher', 'Dryer', 'Microwave', 'Range/Stove', 'Refrigerator', 'Washer', 'Exhaust Fan/Hood', 'Wall Oven', 'Cooktop', 'Freezer']",,,,True,False,,,3042.0,,,,['Attached Garage'],2,,False,True,,False,,False,,,,1,,,True,True,,"['Metal', 'Other']",,,['Inland Lake'],,,,,,,,,False,4.86 acres,,,,False,677009000030,False,False,,,,Single Family,,,,,,,False,,,False,,,,['Private'],,,,,,,,,,,True,False,,Ranch,,,Eveleth-Gilbert #2154,,Eveleth-Gilbert #2154,,Eveleth-Gilbert #2154,,,False,Gilbert,6086723,,"[{'name': 'Sale/Rent', 'value': 'For Sale'}, {'name': 'Construction Status', 'value': 'Previously Owned'}, {'name': 'Fireplace Type', 'value': 'Wood Burning'}, {'name': 'Classification', 'value': 'Homestead'}, {'name': 'School District', 'value': 'Eveleth-Gilbert #2154'}, {'name': 'BWCAW Access', 'value': 'Main'}, {'name': 'Fireplace', 'value': 'Yes'}, {'name': 'Fireplaces', 'value': '1'}, {'name': 'Main Floor Bedroom', 'value': '1'}, {'name': 'Style', 'value': 'Traditional'}, {'name': 'Lot Description', 'value': 'Accessible Shoreline'}, {'name': 'Bath 3 Level', 'value': 'Lower'}, {'name': 'Air Conditioning', 'value': 'Central'}, {'name': 'Amenities', 'value': 'Natural Woodwork, Walk-In Closet, Patio Door, Washer Hook-Ups, Sauna, Hot Tub'}, {'name': 'Bath Description', 'value': 'Main Floor Full Bath, Private Master, 3/4 Basement, Main Floor 1/2 Bath, Separate Tub & Shower'}, {'name': 'Construction Type', 'value': 'Frame/Wood'}, {'name': 'Dining', 'value': 'Breakfast Bar, Informal Dining Room'}, {'name': 'Heat', 'value': 'In Floor, Dual Fuel/Off Peak'}, {'name': 'Terms', 'value': 'Cash, Conventional, VA DVA, FHA, Contract for Deed'}, {'name': 'Water', 'value': 'Private'}, {'name': 'Basement Material', 'value': 'Poured Concrete'}, {'name': 'Basement Style', 'value': 'Full'}, {'name': 'Exterior', 'value': 'Cement Board'}, {'name': 'Windows', 'value': 'Double Glazed, Storm/Screens'}, {'name': 'Outbuildings', 'value': 'Pole Building'}, {'name': 'Road Frontage', 'value': 'County'}, {'name': 'ADA Features', 'value': 'Doors 36?+'}, {'name': 'Roof', 'value': 'Fiberglass Shingles'}]",55741,4318 Neubauer Rd,Gilbert,MN,47.431239,-92.370789,479900.0,FOR_SALE,22,55741_6,7,"For sale: $479,900. Large Lakeshore Lot nearly 5 acres.  Lake Home, Large Pole Barn 36' x 56' Boat House, Dock, Hot Tub, Pontoon Boat Optional. Seller Financing available, Low interest, no PMI !"
2,2,1,1,0,0,,,[],Finished,"['Carpet', 'Hardwood', 'Tile']",['Baseboard'],True,['Central'],True,"['Dishwasher', 'Dryer', 'Freezer', 'Garbage disposal', 'Microwave', 'Range / Oven', 'Refrigerator', 'Washer']",,,,False,False,,,3444.0,,,,['Detached Garage'],,,False,,,False,,False,,,,1,,,,,,"['Wood', 'Wood products']",,,['Water'],True,True,,,,,,,False,100.48 acres,,,,False,260001200550,False,False,,,,Single Family,,,,Shake/Shingle,,,False,1991,,False,,,,['Private'],,,,,,,,,,,True,False,,Bungalow,,,Mesabi E. #2711,,Mesabi E. #2711,,Mesabi E. #2711,,,False,Gilbert,6088288,,"[{'name': 'Sale/Rent', 'value': 'For Sale'}, {'name': 'Waterfront', 'value': 'Yes'}, {'name': 'Construction Status', 'value': 'Previously Owned'}, {'name': 'Lender Owned', 'value': 'Yes'}, {'name': 'Classification', 'value': 'Homestead'}, {'name': 'School District', 'value': 'Mesabi E. #2711'}, {'name': 'Rd Btwn Wtrfrnt and Home', 'value': 'Yes'}, {'name': 'Waterfront Name', 'value': 'Cedar Island'}, {'name': 'Waterfront Description', 'value': 'Inland Lake'}, {'name': 'Main Floor Bedroom', 'value': '0'}, {'name': 'Style', 'value': 'Bungalow'}, {'name': 'Construction Type', 'value': 'Frame/Wood'}, {'name': 'Exterior', 'value': 'Wood'}, {'name': 'Water', 'value': 'Private'}, {'name': 'Basement Style', 'value': 'Full'}, {'name': 'Roof', 'value': 'Asphalt Shingles'}, {'name': 'Heat', 'value': 'Baseboard, Hot Water'}, {'name': 'Basement Features', 'value': 'Unfinished'}, {'name': 'Basement Material', 'value': 'Rock'}, {'name': 'Bath Description', 'value': '3/4 Main Floor'}]",55741,5439 Vermilion Trl,Gilbert,MN,47.503674,-92.343931,385000.0,FOR_SALE,1,55741_7,1,"For sale: $385,000. Lots of land and lots of lakeshore! Total footage=5170 Three parcels for sale, all three under the mortgage home is on one, hunting cabin is one, one is vacant lot. Too much to explain on paper, please call for full details!"
3,1,1,0,0,0,,,[],Finished,,['Other'],True,['Central'],True,"['Dryer', 'Range/Stove', 'Refrigerator', 'Washer']",,,,,False,,,1040.0,,,,"['Attached Garage', 'Detached Garage']",2,,False,True,,False,,False,,,,1,,,,,,"['Metal', 'Other']",,,,,,,,,,,,False,0.12 acres,,,,False,060001001370,False,False,,,,Single Family,,,,,,,False,,,False,,,,['City'],,,,,,,,,,,True,False,,,,,Eveleth-Gilbert #2154,,Eveleth-Gilbert #2154,,Eveleth-Gilbert #2154,,,False,Gilbert,6085499,,"[{'name': 'Sale/Rent', 'value': 'For Sale'}, {'name': 'Construction Status', 'value': 'Previously Owned'}, {'name': 'Classification', 'value': 'Homestead'}, {'name': 'School District', 'value': 'Eveleth-Gilbert #2154'}, {'name': 'Main Floor Bedroom', 'value': '0'}, {'name': 'Style', 'value': 'Traditional'}, {'name': 'Construction Type', 'value': 'Frame/Wood'}, {'name': 'Terms', 'value': 'Cash, Conventional'}, {'name': 'Basement Material', 'value': 'Poured Concrete, Concrete Block'}, {'name': 'Heat', 'value': 'City Gas, Baseboard, Hot Water'}, {'name': 'Roof', 'value': 'Asphalt Shingles'}, {'name': 'Water', 'value': 'City'}, {'name': 'Exterior', 'value': 'Steel'}, {'name': 'Basement Style', 'value': 'Partial'}, {'name': 'Garage Dimensions', 'value': '24 x 20'}]",55741,104 E Michigan Ave,Gilbert,MN,47.489619,-92.463136,54500.0,FOR_SALE,16,55741_8,7,"For sale: $54,500. 3 bedroom 1 bath home located in Gilbert! Don't miss this home it is priced to sell!! New carpet throughout the living room and up the stairs, new roof on two story main as of June 2019 and the addition roof was in 2003, also has on demand hot water heater!  Garage has two room loft with ample storage on both sides!! Call for your tour today!"
2,1,0,1,0,0,,,[],"Crawl Space, Concrete Block",,['Other'],True,['Central'],True,"['Range', 'Microwave', 'Dishwasher', 'Refrigerator', 'Washer', 'Dryer']",,,,True,False,,,1500.0,,,,['Detached Garage'],2,,False,True,,False,,False,,,,1,,,,,,['Wood'],,,,,True,,,,Rolling,,,False,0.75 acres,,,,False,260603000530,False,False,,Residential-Single Family,,Single Family,,,,,,,False,,,False,,,,['Private'],,,,,,,,,,,True,False,,Ranch,,,Eveleth-Gilbert #2154,,Eveleth-Gilbert #2154,,Eveleth-Gilbert #2154,,,False,Gilbert,6085310,,"[{'name': 'AmenitiesUnit', 'value': 'Natural Woodwork, Kitchen Window, Vaulted Ceiling(s), Washer/Dryer Hookup'}, {'name': 'DiningRoomDescription', 'value': 'Informal Dining Room, Living/Dining Room'}, {'name': 'FireplaceLoc', 'value': 'Wood Burning, Family Room, Brick'}, {'name': 'GarageDescription', 'value': 'Insulated Garage, Detached Garage, Garage Door Opener, Heated Garage, Driveway - Asphalt'}, {'name': 'Fuel', 'value': 'Electric, Propane'}, {'name': 'HeatingDescription', 'value': 'Forced Air, Baseboard, Dual Fuel/Off Peak'}, {'name': 'FrontageFeet', 'value': 'Paved Streets, County'}, {'name': 'LakeWaterfront', 'value': 'Lake Front'}, {'name': 'PresentUse', 'value': 'Yearly'}, {'name': 'Roof', 'value': 'Asphalt Shingles'}, {'name': 'SpecialSearch', 'value': 'All Living Facilities on One Level'}, {'name': 'Exterior', 'value': 'Wood'}, {'name': 'Water', 'value': 'Well'}, {'name': 'WaterfrontView', 'value': 'Lake, North, West, Panoramic, East'}, {'name': 'SecondUnit', 'value': 'Existing In-Law w/Bath'}, {'name': 'OutBuildings', 'value': 'Guest House'}, {'name': 'AmenitiesShared', 'value': 'Tennis Courts'}, {'name': 'CONSTRUCTIONSTATUS', 'value': 'Previously Owned'}, {'name': 'Status', 'value': 'Active'}, {'name': 'TaxYear', 'value': '2020.00'}]",55741,6367 Eshquaguma Rd,Gilbert,MN,47.459947,-92.355601,274500.0,FOR_SALE,24,55741_9,7,"For sale: $274,500. One Level BEACHHOUSE At Waters Edge Offers 75 ft SAND BEACH, Sunsets &amp; Sounds Of Water Lapping Shore From Almost All Rooms! Paved drive off paved rd on Lake Eshquaguma, just 12 mi to Virginia, 50 to Duluth, 10 to Giants Ridge. Well maintained 1,500 SF 2B/1B yr rnd home, 2 stall insulated heated garage w/golf cart door &amp; guest quarters above (lakeside BR/bth/kitchen/livingrm). Beachfront living rm w/natural light pouring in windows, wood burning firepl. Beachfront screen porch &amp; deck at waters edge. White kitchen open to dining &amp; living rm - all lakeside. Lakeside BR. Home recently stained, roof only 10 yrs old. Economical dual fuel heat. Open level yard for activities, concrete walk, dock, drilled well, high speed internet. Just a short cart ride to golf, tennis, dining at Eshquaguma Country Club, where new members are welcome &amp; the purpose of the Club is to have fun. Click link for 3D Tour!"
