bedrooms,bathrooms,bathroomsFull,bathroomsThreeQuarter,bathroomsHalf,bathroomsOneQuarter,bathroomsPartial,mainLevelBathrooms,rooms,basement,flooring,heating,hasHeating,cooling,hasCooling,appliances,laundryFeatures,fireplaces,fireplaceFeatures,hasFireplace,furnished,commonWalls,buildingArea,livingArea,aboveGradeFinishedArea,belowGradeFinishedArea,parking,parkingFeatures,garageSpaces,coveredSpaces,hasAttachedGarage,hasGarage,openParkingSpaces,hasOpenParking,carportSpaces,hasCarport,otherParking,accessibilityFeatures,levels,stories,entryLevel,entryLocation,hasPrivatePool,hasSpa,spaFeatures,exteriorFeatures,patioAndPorchFeatures,fencing,view,hasView,hasWaterfrontView,waterfrontFeatures,frontageType,frontageLength,topography,woodedArea,vegetation,canRaiseHorses,lotSize,lotSizeDimensions,otherStructures,additionalParcelsDescription,hasAdditionalParcels,parcelNumber,hasAttachedProperty,hasLandLease,landLeaseAmount,zoning,zoningDescription,homeType,architecturalStyle,constructionMaterials,foundationDetails,roofType,windowFeatures,propertyCondition,isNewConstruction,yearBuiltEffective,builderModel,hasHomeWarranty,electric,hasElectricOnProperty,gas,sewer,waterSources,utilities,greenBuildingVerificationType,greenEnergyEfficient,greenIndoorAirQuality,greenSustainability,greenWaterConservation,numberOfUnitsInCommunity,numberOfUnitsVacant,storiesTotal,hasPetsAllowed,hasRentControl,buildingFeatures,structureType,buildingName,elementarySchool,elementarySchoolDistrict,middleOrJuniorSchool,middleOrJuniorSchoolDistrict,highSchool,highSchoolDistrict,securityFeatures,communityFeatures,isSeniorCommunity,cityRegion,listingId,buildingAreaSource,otherFacts,zipcode,streetAddress,city,state,latitude,longitude,price,homeStatus,photoCount,imageId,description
2,1,0,1,0,0,,,,None,['Carpet'],['Forced air'],True,['None'],True,"['Dryer', 'Refrigerator', 'Washer']",,,,True,False,,,1908.0,,,,['Detached Garage'],3,,False,True,,False,,False,,,,2,,,,,,['Wood'],,,,,,,,,,,,False,0.44 acres,,,,False,2023351074,False,False,,,,Single Family,,,['Concrete'],Asphalt,,,False,,,False,,,,,,,,,,,,,,,True,False,,Other,,,2143 - Waterville-Elysian-Morr,,2143 - Waterville-Elysian-Morr,,2143 - Waterville-Elysian-Morr,,,False,Morristown,5548296,,[],55052,106 Division St S,Morristown,MN,44.225584,-93.444029,104000.0,FOR_SALE,10,55052_0,"For sale: $104,000. Affordable living! This home is for the hobby enthusiast! Huge workshop attached to this 2 bedroom home! Located in the heart of downtown Morristown. Large windows for an abundance of natural lighting. All this situated on a .4 acre lot."
2,2,0,0,0,0,,,,,"['Carpet', 'Linoleum / Vinyl']",['Forced air'],True,['Other'],True,"['Dishwasher', 'Dryer', 'Microwave', 'Refrigerator', 'Washer']",,,,,False,,,1373.0,,,,['Attached Garage'],2,,False,True,,False,,False,,,,1,,,,,,"['Brick', 'Vinyl']",,,,,,,,,,,,False,0.15 acres,,,,False,2027102027,False,False,,,,Townhouse,,,['Concrete Block'],Asphalt,,,False,,,False,,,,,,,,,,,,,,,True,False,,Other,,,2143 - Waterville-Elysian-Morr,,2143 - Waterville-Elysian-Morr,,2143 - Waterville-Elysian-Morr,,,False,Morristown,,,[],55052,311 W Thruen St,Morristown,MN,44.223195,-93.447355,164207.0,PRE_FORECLOSURE,5,55052_1,"Recently sold: $146,400. Buy this foreclosure deal the right way. Visit us at Auction.com, then login or create a free account to save this property and receive important alerts. We'll let you know if the Est. Credit Bid has posted, when the property has cleared for sale, is postponed or canceled, and the property's winning bid amount if it sells. Auction.com is your source for 30,000+* discounted foreclosure and bank-owned properties and auction events nationwide. Find the best deals in your market now. *Based on data from August 2019."
3,1,,,,,,,,Partially finished,"['Carpet', 'Linoleum / Vinyl']",['Forced air'],True,['Other'],True,,,,,True,False,,,1736.0,,,,"['Attached Garage', 'Detached Garage']",3,,False,True,,False,,False,,,,2,,,,,,['Other'],,,,,,,,,,,,False,0.25 acres,,,,False,2023351027,False,False,,,,Single Family,,,['Stone'],Asphalt,,,False,,,False,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,False,Morristown,,,[],55052,23 Franklin St E,Morristown,MN,44.227713,-93.443696,163690.0,PRE_FORECLOSURE,0,55052_2,"Zestimate&reg; Home Value: $163,690. "
2,1,1,0,0,0,,,,None,"['Carpet', 'Linoleum / Vinyl']",['Forced air'],True,['Central'],True,"['Dishwasher', 'Dryer', 'Microwave', 'Range / Oven', 'Refrigerator', 'Washer']",,,,False,False,,,1260.0,,,,['Detached Garage'],2,,False,True,,False,,False,,,,1,,,,,,['Vinyl'],,,['Water'],True,True,,,,,,,False,0.23 acres,,,,False,0935475004,False,False,,,,Single Family,,,['Concrete Block'],Asphalt,,,False,,,False,,,,,,,,,,,,,,,True,False,,Ranch,,,Waterville-Elysian-Morristown #2143,,Waterville-Elysian-Morristown #2143,,Waterville-Elysian-Morristown #2143,,,False,Morristown,5349168,,[],55052,8275 Hennepin Way,Morristown,MN,44.285084,-93.426027,286500.0,FOR_SALE,19,55052_3,"For sale: $286,500. CALL/TEXT DARYL BAUER AT EDINA REALTY FOR MORE INFORMATION OR A SHOWING 952-240-5773.

Fantastic opportunity to live on the lake at an affordable price!   This year round home is the perfect place to enjoy all four seasons of lake fun.  The wrap around deck offers panoramic views of Cedar Lake plus there are amazing water fowl spottings at the DNR island directly in front of the lakeshore.  One level living offers big picture windows to take advantage of all the views while inside.  Interior shows pride in ownership and is spotless....you can move right in!    Maintenance free siding and gutters. Oversized two car garage.  8x12 shed is located on the lakeshore.  Make every weekend special....call today to take a look!"
3,4,2,2,0,0,,,[],Finished,"['Concrete', 'Tile']",['Forced air'],True,['Central'],True,"['Dishwasher', 'Dryer', 'Microwave', 'Range / Oven', 'Refrigerator', 'Washer']",,,,True,False,,,4152.0,,,,"['Attached Garage', 'Detached Garage']",3,,False,True,,False,,False,,,,1,,,,True,,['Vinyl'],,,,,,,,,,,,False,19.4 acres,,,,False,1320425001,False,False,,,,Vacant Land,,,['Wood'],Asphalt,,,False,,,False,,,,,,,,,,,,,,,True,False,,Ranch,,,Waterville-Elysian-Morristown #2,,Waterville-Elysian-Morristown #2,,Waterville-Elysian-Morristown #2,,,False,Morristown,7023059,,"[{'name': 'Status Category', 'value': 'Active'}, {'name': 'Sub Type', 'value': 'Farm'}, {'name': 'ROAD FRONTAGE', 'value': 'Paved, Gravel, County'}, {'name': 'AMENITIES-EXTERIOR', 'value': 'Driveway - Gravel, Water to Buildings (L), Porch, Patio, Fenced Yard - Partial'}, {'name': 'EXTERIOR', 'value': 'Vinyl'}, {'name': 'FARM TYPE', 'value': 'Hobby, Wood/Hunting'}, {'name': 'GARAGE TYPE', 'value': 'Attached, Detached'}, {'name': 'HEAT', 'value': 'Forced Air, In Floor'}, {'name': 'LOT/LAND DESCRIPTION', 'value': 'Tree Coverage - Medium, Landscaped, Paved Streets, Corner Lot'}, {'name': 'OUTBUILDINGS', 'value': 'Storage Shed, Workshop'}, {'name': 'ROOF', 'value': 'Asphalt Shingles'}, {'name': 'SEWER', 'value': 'Private'}, {'name': 'WATER', 'value': 'Private'}, {'name': 'Hobby Farm', 'value': 'Yes'}, {'name': 'Classification', 'value': 'Homestead'}, {'name': 'AIR CONDITIONING', 'value': 'Central'}, {'name': 'AMENITIES', 'value': 'Garage Door Opener, Ceiling Fans, Kitchen Center Island, Natural Woodwork, Tiled Floors, Vaulted Ceilings, Walk-In Closet, Washer/Dryer Hookups, Broadband Available'}, {'name': 'APPLIANCES', 'value': 'Range/Stove, Refrigerator, Dishwasher, Dryer, Microwave, Washer, Cooktop, Wall Oven'}, {'name': 'BATH DESCRIPTION', 'value': 'Main Floor 3/4 Bath, Full Master'}, {'name': 'BASEMENT FEATURES', 'value': 'Finished, Walkout'}, {'name': 'DINING', 'value': 'Open Floor Plan, 2nd Kitchen'}, {'name': 'FUEL', 'value': 'Propane - Tank Rented'}, {'name': 'MECHANICALS', 'value': 'Water Softner - Rented, Air to Air Exchange, Electronic Air Filter'}, {'name': 'TOPOGRAPHY', 'value': 'Rolling, Lowland'}, {'name': 'Outbuilding Floor', 'value': 'Concrete'}, {'name': 'BASEMENT STYLE', 'value': 'Walk-out'}, {'name': 'Status', 'value': 'CONTNGNT-PROPERTY SALE'}, {'name': 'BASEMENT MATERIAL', 'value': 'Wood'}, {'name': 'Parcel Number', 'value': '1320425001'}, {'name': 'Tax Amount ($)', 'value': '2990'}]",55052,24515 Kent Ave,Morristown,MN,44.230734,-93.493495,599950.0,FOR_SALE,37,55052_4,"For sale: $599,950. Beautiful Home and Acreage. This Home sits on 19.4 acres on the north side of the Sakatah State Trail offering 39 miles of paved trails allowing you to enjoy the outdoors.  This home has great outdoor spaces including a large Deck, Sun Room, Porch and Patio for relaxing and viewing the abundant wildlife.  Also located on the property is a 30' x 60' outbuilding that includes a 3/4 bathroom and a shop area 28' x 30' with cement floor. Indoors offers an open floor plan that includes a large kitchen displaying beautiful cherry cabinets and mill-work, along with a large granite island. The Master Suite has a beautiful bathroom, walk-in closet and an added bonus of an attached sun room. There is a 2nd kitchen in lower level for entertaining. This Property's location offers an easy commute to both Mankato and the Metro area. Extra info : Could be set up for livestock/horses and office in lower level could be an additional bedroom by adding an egress window."
3,2,2,0,0,0,,,,None,"['Carpet', 'Linoleum / Vinyl']",['Forced air'],True,['Central'],True,"['Dishwasher', 'Range / Oven', 'Refrigerator']",,,,,False,,,1280.0,,,,['Off street'],2,,False,True,,False,,False,,,,,,,,,,['Other'],,,,,,,,,,,,False,,,,,False,2023375727,False,False,,,,Mobile / Manufactured,,,['Piers'],Shake/Shingle,,,False,,,False,,,,,,,,,,,,,,,True,False,,Other,,,,,,,,,,False,Morristown,,,[],55052,57 Verdev Dr,Morristown,MN,44.22827,-93.439059,33000.0,RECENTLY_SOLD,17,55052_5,"Recently sold: $33,000. This beautiful home has been remodeled and given new life! With fresh paint and new flooring, this house is ready for you to call it home."
3,2,2,0,0,0,,,,None,"['Carpet', 'Laminate']","['Forced air', 'Other']",True,"['Central', 'Other']",True,"['Dishwasher', 'Range / Oven', 'Refrigerator']",,,,,False,,,1680.0,,,,['Off street'],2,,False,True,,False,,False,,,,1,,,,,,['Wood'],,,['Park'],True,,,,,,,,False,,,,,False,2023375781,False,False,,,,Mobile / Manufactured,,,['Piers'],Asphalt,,,False,,,False,,,,,,,,,,,,,,,True,False,,Modern,,,,,,,,,,False,Morristown,,,[],55052,64 Cate St,Morristown,MN,44.22816,-93.437912,49000.0,RECENTLY_SOLD,10,55052_6,"Recently sold: $49,000. This beautiful home is located in a nice community in Morristown MN. A short 45 minute drive puts you in the heart of the Twin Cities! The entire home was redone, top to bottom and is ready for a family!

This home is located in a Manufactured Home Community and isn't to be removed."
4,3,0,0,0,0,,,,Partially finished,['Hardwood'],['Other'],True,['Central'],True,,,,,True,False,,,3084.0,,,,['Attached Garage'],2,,False,True,,False,,False,,,,1,,,,,,['Vinyl'],,,,,True,,,,,,,False,1.04 acres,,,,False,0935376009,False,False,,,,Single Family,,,['Concrete Block'],Asphalt,,,False,,,False,,,,,,,,,,,,,,,True,False,,Ranch,,,Waterville-Elysian-Morristown #2143,,Waterville-Elysian-Morristown #2143,,Waterville-Elysian-Morristown #2143,,,False,Morristown,,,[],55052,8487 Cedar Lake Ct,Morristown,MN,44.284427,-93.43449,415000.0,RECENTLY_SOLD,0,55052_7,"Recently sold: $415,000. "
3,2,1,1,0,0,,,,Partially finished,['Hardwood'],['Forced air'],True,['Central'],True,"['Dishwasher', 'Dryer', 'Microwave', 'Range / Oven', 'Refrigerator', 'Washer']",,,,True,False,,,2016.0,,,,['Attached Garage'],3,,False,True,,False,,False,,,,2,,,,,,['Vinyl'],,,,,,,,,,,,False,0.3 acres,,,,False,2027126008,False,False,,,,Single Family,,,['Concrete'],Asphalt,,,False,,,False,,,,,,,,,,,,,,,True,False,,,,,Waterville-Elysian-Morris - 2143,,Waterville-Elysian-Morris - 2143,,Waterville-Elysian-Morris - 2143,,,False,Morristown,,,[],55052,406 W Thruen St,Morristown,MN,44.222768,-93.449946,229500.0,RECENTLY_SOLD,0,55052_8,"Recently sold: $229,500. Beautifully maintained split level on spacious lot! This 3 BR, 2 BA home with attached 3-stall garage offers a great location near the edge of town. The home's upper level boasts a vaulted ceiling that envelopes the living room, dining room &amp; kitchen. Move-in ready with nice, neutral d&eacute;cor! Master bedroom includes large walk-in closet and walk-thru full bathroom. The finished lower level has daylight windows throughout with a large family room, bedroom, 3/4 bath and large laundry/utility room. Outside you will find a great composite deck - perfect for grilling and entertaining! There is also a new brick patio complete with fire pit as well as a play set/area for the kids! Come take a look - call today for a showing!"
3,1,,,,,,,,Partially finished,"['Carpet', 'Linoleum / Vinyl']",['Other'],True,['None'],True,,,,,True,False,,,1140.0,,,,"['Attached Garage', 'Detached Garage']",3,,False,True,,False,,False,,,,2,,,,,,['Other'],,,,,,,,,,,,False,2 acres,,,,False,1432450001,False,False,,,,Single Family,,,['Concrete Block'],Asphalt,,,False,,,False,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,False,Morristown,,,[],55052,26855 Elmore Ave,Morristown,MN,44.198744,-93.373336,125000.0,RECENTLY_SOLD,0,55052_9,"Recently sold: $125,000. "
